row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,retail_sales_people,product_id,category,sub_category,product_name,returned,sales,quantity,discount,profit,order_year,order_month,order_month_name,order_quarter,order_weekday,shipping_days,profit_margin,loss_order,high_discount,late_shipping,weekend_order,high_value_order
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,532.4,3,0.32,-46.98,2015,12,December,4,Sunday,4,-8.82,True,True,False,True,True
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Not,212.06,3,0.3,-15.15,2015,12,December,4,Sunday,4,-7.14,True,True,False,True,True
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,Not,371.17,4,0.2,41.76,2015,12,December,4,Sunday,4,11.25,False,False,False,True,True
42,CA-2017-120999,2017-10-09,2017-10-09,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Kelly Williams,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,Not,147.17,4,0.2,16.56,2017,10,October,4,Monday,0,11.25,False,False,False,False,False
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Anna Andreadi,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",Not,77.88,2,0.0,3.89,2016,7,July,3,Sunday,5,4.99,False,False,False,True,False
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Cassandra Brandow,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Not,95.62,2,0.2,9.56,2017,9,September,3,Tuesday,4,10.0,False,False,False,False,False
45,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Kelly Williams,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Not,45.98,2,0.0,19.77,2016,11,November,4,Thursday,0,43.0,False,False,False,False,False
46,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Kelly Williams,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Not,17.46,2,0.0,8.21,2016,11,November,4,Thursday,0,47.02,False,False,False,False,False
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Kelly Williams,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Not,211.96,4,0.0,8.48,2014,10,October,4,Monday,5,4.0,False,False,False,False,True
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Not,45.0,3,0.0,4.95,2016,6,June,2,Monday,5,11.0,False,False,False,False,False
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Not,21.8,2,0.0,6.1,2016,6,June,2,Monday,5,27.98,False,False,False,False,False
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Not,38.22,6,0.0,17.96,2015,4,April,2,Saturday,4,46.99,False,False,False,True,False
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-LA-10002762,Office Supplies,Labels,Avery 485,Not,75.18,6,0.0,35.33,2015,4,April,2,Saturday,4,46.99,False,False,False,True,False
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,Not,6.16,2,0.0,2.96,2015,4,April,2,Saturday,4,48.05,False,False,False,True,False
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",Not,89.99,1,0.0,17.1,2015,4,April,2,Saturday,4,19.0,False,False,False,True,False
54,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,Not,15.26,7,0.0,6.26,2016,11,November,4,Saturday,35,41.02,False,False,True,True,False
55,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,Not,1029.95,5,0.0,298.69,2016,11,November,4,Saturday,35,29.0,False,False,True,True,True
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,Yes,208.56,6,0.0,52.14,2016,6,June,2,Friday,1,25.0,False,False,False,False,False
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,Yes,32.4,5,0.0,15.55,2016,6,June,2,Friday,1,47.99,False,False,False,False,False
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,Yes,319.41,5,0.1,7.1,2016,6,June,2,Friday,1,2.22,False,False,False,False,True
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",Yes,14.56,2,0.0,6.99,2016,6,June,2,Friday,1,48.01,False,False,False,False,False
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Yes,30.0,2,0.0,3.3,2016,6,June,2,Friday,1,11.0,False,False,False,False,False
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,Yes,48.48,4,0.2,16.36,2016,6,June,2,Friday,1,33.75,False,False,False,False,False
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,Yes,1.68,1,0.0,0.84,2016,6,June,2,Friday,1,50.0,False,False,False,False,False
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Not,13.98,2,0.0,6.15,2015,11,November,4,Tuesday,6,43.99,False,False,True,False,False
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Not,25.82,6,0.2,9.36,2015,11,November,4,Tuesday,6,36.25,False,False,True,False,False
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,Not,146.73,3,0.0,68.96,2015,11,November,4,Tuesday,6,47.0,False,False,True,False,False
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Not,79.76,4,0.0,22.33,2015,11,November,4,Tuesday,6,28.0,False,False,True,False,False
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Kelly Williams,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Not,213.12,5,0.3,-15.22,2015,4,April,2,Thursday,5,-7.14,True,True,False,False,True
68,CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Not,1113.02,8,0.2,111.3,2014,5,May,2,Monday,153,10.0,False,False,True,False,True
69,CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,Not,167.97,4,0.2,62.99,2014,5,May,2,Monday,153,37.5,False,False,True,False,False
70,CA-2016-119823,2016-04-06,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Cassandra Brandow,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Not,75.88,2,0.0,35.66,2016,4,April,2,Wednesday,61,47.0,False,False,True,False,False
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Chuck Magee,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Not,4.62,1,0.2,1.73,2016,9,September,3,Sunday,5,37.45,False,False,False,True,False
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Kelly Williams,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Not,19.05,3,0.0,8.76,2017,9,September,3,Thursday,3,45.98,False,False,False,False,False
73,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,Not,831.94,8,0.2,-114.39,2015,4,April,2,Sunday,0,-13.75,True,False,False,True,True
74,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Not,97.04,2,0.2,1.21,2015,4,April,2,Sunday,0,1.25,False,False,False,True,False
75,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,Not,72.78,1,0.2,-18.2,2015,4,April,2,Sunday,0,-25.01,True,False,False,True,False
76,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,Not,1.25,3,0.8,-1.93,2017,9,September,3,Tuesday,61,-154.4,True,True,True,False,False
77,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",Not,9.71,3,0.6,-5.82,2017,9,September,3,Tuesday,61,-59.94,True,True,True,False,False
78,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Not,27.24,3,0.2,2.72,2017,9,September,3,Tuesday,61,9.99,False,False,True,False,False
79,US-2014-147606,2014-11-26,2014-11-26,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Kelly Williams,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Not,19.3,5,0.6,-14.48,2014,11,November,4,Wednesday,0,-75.03,True,True,False,False,False
80,CA-2016-127208,2016-12-06,2016-12-06,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Cassandra Brandow,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Not,208.16,1,0.0,56.2,2016,12,December,4,Tuesday,0,27.0,False,False,False,False,False
